country,year,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Africa,2000.0,818952374.0,3103269165465.6,6.5738,0.0,0.0,0.0,2.491,2.04,0.463,0.0,621.157,-0.236,-2.28,1176.785,963.73,258.281,211.52,-0.097,-1.474,1854.02,1518.354,47.955,30.154,454.15,441.08,14.608,2.248,70.27,3902.616,1.2715999999999998,1.877,53.955,428.071,350.57,3576.436,2928.931,79.48,91.642,10.476,52.803,556.822,112.155,91.85,679.92,11.037,134.287,1649.684,1351.012,20.824,17.422,273.98,6.476,13.535,222.547,91.397,74.85,271.746,16.97,6.963,6.432,16.315,267.126,110.519,90.51,326.18,20.52,8.358,13.07,2.878,1.348,0.491,36.916,15.886,13.01,45.077,2.95,1.155,0.244,3.432,1408.378,57.635,47.2,1719.731,7.228,291.173,5274.204,4319.322,10.701,44.066,7.108,2.47,0.43,33.053,1.793,3.016,0.525,8.679,0.56,0.097,0.222,538.591,3196.057,7.333,15.824,230.21,94.633,77.5,281.103,17.571,7.203,16.1726,0.036,0.036,0.012,0.01,0.044,0.002,0.001,786.364,0.46,0.519,0.208,0.17,0.634,0.039,0.016
Africa,2001.0,839464127.0,3103269165465.6,-12.8158,0.0,0.0,0.0,2.502,2.1,0.457,0.0,619.706,1.265,12.196,1162.559,975.926,258.165,216.72,-0.251,-3.817,1804.171,1514.537,47.168,29.48,462.61,459.46,14.688,3.579,114.398,3943.533,1.2715999999999998,3.589,105.133,435.313,365.43,3614.286,3034.063,79.535,91.651,13.975,77.814,634.636,120.291,100.98,756.001,2.768,37.401,1653.928,1388.413,21.978,19.171,284.73,7.458,15.044,237.591,95.656,80.3,283.027,17.477,7.177,4.01,9.265,276.391,112.012,94.03,329.247,20.465,8.349,3.15,0.681,-17.61,-6.698,30.218,12.77,10.72,35.997,2.333,0.913,1.074,15.123,1423.501,56.858,47.73,1695.726,-1.004,-43.346,5093.697,4275.976,10.388,43.0,7.316,2.58,0.48,3.222,0.209,3.073,0.572,8.716,0.562,0.104,0.221,547.325,3310.455,7.629,15.963,246.173,99.242,83.31,293.25,18.132,7.436,25.887,0.009,0.045,0.012,0.01,0.053,0.002,0.001,136.798,0.702,1.221,0.5,0.42,1.454,0.091,0.037
Africa,2002.0,860611762.0,3103269165465.6,-12.8158,0.491,0.57,0.491,2.998,2.58,0.529,0.015,617.134,-4.253,-41.505,1085.764,934.422,261.163,224.76,-1.674,-25.354,1730.377,1489.183,46.087,27.866,489.33,487.69,15.419,1.293,42.8,3896.362,1.2715999999999998,0.934,28.346,450.47,387.68,3558.41,3062.41,79.493,91.326,5.673,36.0,670.636,134.741,115.96,779.255,4.387,60.906,1684.057,1449.319,23.777,20.0,300.97,5.142,10.605,248.196,98.302,84.6,288.395,17.347,7.402,6.267,14.454,290.845,116.208,100.01,337.952,20.507,8.674,1.64,0.335,11.867,3.368,33.586,13.932,11.99,39.025,2.459,1.002,2.378,33.851,1457.352,54.566,46.96,1693.391,0.673,28.767,5001.956,4304.742,9.629,43.461,7.23,2.97,0.39,-1.537,-0.087,3.451,0.453,8.401,0.609,0.08,0.216,566.678,3353.255,5.55,11.087,257.26,102.276,88.02,298.927,18.048,7.672,9.814,0.004,0.049,0.012,0.01,0.057,0.002,0.001,6.739,0.074,1.295,0.511,0.44,1.504,0.09,0.039
Africa,2003.0,882349569.0,3103269165465.6,10.272,0.05,0.613,0.541,2.867,2.53,0.497,0.015,625.682,8.843,82.627,1152.659,1017.048,269.462,237.76,7.456,111.037,1813.589,1600.22,46.698,28.932,510.48,509.14,15.292,4.833,162.057,3984.036,1.2715999999999998,5.482,167.892,465.36,410.61,3661.023,3230.302,80.648,91.892,6.099,40.9,711.536,140.534,124.0,806.411,7.373,106.862,1763.679,1556.181,24.355,20.241,318.56,-2.883,-8.701,239.495,92.945,82.01,271.429,16.108,6.813,-1.297,-5.835,285.011,111.668,98.53,323.013,19.352,8.108,1.34,0.262,5.604,1.655,35.24,14.348,12.66,39.939,2.487,1.002,3.044,44.365,1501.717,55.364,48.85,1701.953,8.763,377.239,5306.265,4681.981,9.595,42.719,8.123,3.32,0.79,14.421,0.893,3.763,0.895,9.206,0.652,0.155,0.231,577.028,3515.312,-2.234,-7.49,249.77,97.32,85.87,283.074,16.866,7.105,18.251,0.009,0.057,0.011,0.01,0.065,0.002,0.002,20.744,0.259,1.553,0.601,0.53,1.76,0.104,0.044
Africa,2004.0,904781595.0,3103269165465.6,17.954,0.097,0.706,0.639,2.94,2.66,0.492,0.017,623.875,10.04,102.113,1236.941,1119.162,274.829,248.66,2.212,35.395,1807.746,1635.615,46.036,29.65,541.5,540.14,15.091,7.377,259.309,4171.859,1.2715999999999998,7.55,243.891,481.619,435.76,3839.814,3474.193,80.675,92.041,10.058,71.57,783.106,155.905,141.06,865.519,5.112,79.552,1807.876,1635.733,26.115,20.747,336.98,5.624,11.858,251.353,95.647,86.54,277.805,16.022,6.659,6.11,15.418,300.428,115.365,104.38,332.045,19.325,7.959,1.36,0.251,5.545,1.717,36.958,14.777,13.37,40.847,2.475,0.979,4.675,70.208,1571.925,50.885,46.04,1737.353,11.293,528.725,5759.076,5210.706,8.524,41.645,9.197,3.69,1.03,13.89,1.074,4.078,1.138,10.165,0.683,0.191,0.244,596.984,3774.621,6.193,13.701,263.471,100.588,91.01,291.198,16.849,6.98,20.827,0.011,0.069,0.022,0.02,0.076,0.004,0.002,43.443,0.661,2.214,0.84,0.76,2.447,0.141,0.059
Africa,2005.0,927898412.0,3103269165465.6,-100.0,-0.639,0.0,0.0,2.867,2.66,0.474,0.0,625.163,-7.156,-80.089,1119.813,1039.073,270.935,251.4,0.649,10.62,1774.154,1646.235,44.833,27.449,562.31,560.75,15.604,0.288,10.856,4079.625,1.2715999999999998,0.409,14.192,490.905,455.51,3759.447,3488.385,81.232,92.152,3.182,24.922,808.028,163.089,151.33,870.815,3.965,64.858,1832.735,1700.592,26.987,21.345,350.56,1.855,3.041,254.394,96.444,89.49,274.161,15.959,6.72,-0.972,-3.337,297.091,113.418,105.24,320.177,18.768,7.848,1.56,0.277,-15.507,-5.928,31.029,12.167,11.29,33.44,2.013,0.82,4.412,69.359,1641.285,56.881,52.78,1768.819,3.67,191.212,5821.669,5401.917,9.412,43.357,9.353,3.66,1.0,1.871,0.156,3.944,1.078,10.08,0.653,0.178,0.247,604.323,3785.477,1.148,2.591,266.062,101.25,93.95,286.736,16.754,7.029,18.406,0.012,0.081,0.022,0.02,0.087,0.004,0.002,1.576,0.021,2.235,0.841,0.78,2.408,0.139,0.059
Africa,2006.0,951740562.0,3103269165465.6,181.1212,0.072,0.076,0.072,3.646,3.47,0.591,0.002,627.539,1.446,15.024,1107.547,1054.097,271.597,258.49,-0.681,-11.208,1717.933,1635.026,44.051,27.32,590.37,586.8,16.021,1.926,72.897,4054.019,1.2715999999999998,1.901,66.309,503.068,478.79,3734.94,3554.694,81.593,92.129,4.421,35.72,843.748,172.61,164.28,886.531,8.282,140.85,1934.815,1841.442,27.996,21.868,368.24,3.616,7.54,261.934,97.316,92.62,275.216,15.784,6.789,2.756,6.589,303.68,113.487,108.01,319.079,18.407,7.871,3.57,0.605,-11.217,-3.654,27.375,10.539,10.03,28.763,1.709,0.71,0.948,15.565,1656.849,58.861,56.02,1740.862,2.333,126.003,5808.223,5527.921,9.547,42.942,11.769,4.48,1.01,25.046,2.417,4.707,1.061,12.366,0.763,0.172,0.305,616.555,3858.375,4.458,10.243,276.305,102.948,97.98,290.316,16.697,7.161,28.428,0.022,0.103,0.032,0.03,0.109,0.005,0.003,9.254,0.191,2.426,0.893,0.85,2.549,0.145,0.063
Africa,2007.0,976461747.0,3103269165465.6,1000.486,0.722,0.813,0.794,2.96,2.89,0.474,0.02,627.223,1.664,17.536,1097.466,1071.633,271.429,265.04,-0.039,-0.638,1673.786,1634.388,43.433,26.748,614.6,610.23,16.035,3.836,148.016,4102.967,1.2715999999999998,3.889,138.248,510.424,498.41,3781.963,3692.942,81.676,92.176,6.716,56.667,900.415,178.881,174.67,922.12,6.263,115.325,2003.936,1956.767,28.624,22.474,382.75,3.422,7.27,269.204,97.853,95.55,275.694,15.658,6.719,4.395,9.768,313.448,114.515,111.82,321.004,18.324,7.824,4.37,0.711,12.877,3.332,30.707,11.593,11.32,31.447,1.855,0.766,3.865,64.045,1720.895,60.115,58.7,1762.378,2.067,114.278,5778.208,5642.199,9.619,42.954,9.739,3.91,1.02,-16.64,-2.03,4.004,1.045,9.974,0.641,0.167,0.243,624.94,4006.39,3.517,6.436,282.741,102.923,100.5,289.556,16.469,7.057,26.739,0.027,0.13,0.031,0.03,0.133,0.005,0.003,19.202,0.448,2.874,1.034,1.01,2.943,0.166,0.072
Africa,2008.0,1001981577.0,3103269165465.6,-23.106,-0.183,0.609,0.61,3.014,3.02,0.486,0.014,622.014,10.18,109.092,1178.39,1180.725,259.356,259.87,1.607,26.262,1657.366,1660.65,41.801,27.811,626.12,621.69,15.39,5.968,239.095,4237.09,1.2715999999999998,6.239,230.407,505.189,506.19,3915.591,3923.35,81.422,92.412,3.897,35.088,935.503,183.776,184.14,933.653,3.667,71.755,2024.51,2028.522,29.619,22.035,386.7,1.857,3.297,272.501,96.748,96.94,271.963,15.593,6.419,3.324,8.688,322.136,115.272,115.5,321.499,18.578,7.588,4.43,0.708,14.907,4.358,35.066,12.974,13.0,34.996,2.091,0.826,5.011,86.227,1807.122,62.057,62.18,1803.548,1.014,57.211,5688.139,5699.41,10.002,42.566,10.09,4.21,1.19,3.837,0.351,4.202,1.188,10.07,0.677,0.191,0.238,620.461,4245.486,2.017,4.33,287.071,102.297,102.5,286.503,16.487,6.762,40.748,0.052,0.182,0.04,0.04,0.182,0.006,0.004,29.084,0.813,3.687,1.307,1.31,3.679,0.211,0.087
Africa,2009.0,1028200528.0,3103269165465.6,-44.21,-0.27,0.331,0.341,2.84,2.92,0.468,0.008,614.845,-0.4,-4.723,1143.748,1176.002,243.299,250.16,-0.842,-13.987,1601.5,1646.663,40.053,27.237,629.81,624.58,15.2,1.7,72.159,4199.224,1.2715999999999998,1.68,65.915,491.315,505.17,3879.85,3989.264,80.882,92.394,0.613,5.736,941.238,183.048,188.21,915.423,-5.696,-115.547,1860.508,1912.975,30.134,21.8,384.02,2.674,5.559,278.061,97.889,100.65,270.434,16.115,6.44,2.387,6.244,328.381,116.135,119.41,319.374,19.118,7.606,5.23,0.83,-1.523,-0.747,34.318,12.459,12.81,33.377,2.051,0.795,3.591,64.902,1872.024,64.968,66.8,1820.68,-3.802,-216.699,5332.336,5482.711,10.695,43.358,10.981,4.28,1.36,9.88,0.891,4.163,1.323,10.68,0.685,0.218,0.254,607.45,4317.645,2.884,6.992,294.062,103.676,106.6,285.997,17.067,6.811,32.961,0.059,0.241,0.068,0.07,0.234,0.011,0.006,21.163,0.753,4.439,1.556,1.6,4.317,0.256,0.103
